=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 13:23:33 =~=~=~=~=~=~=~=~=~=~=~=
Time: 336316	Period: 1291644	Veloc:  135756
Time: 338907	Period: 1291564	Veloc:  136396
Time: 341602	Period: 1291456	Veloc:  137012
Time: 344193	Period: 1291368	Veloc:  137628
Time: 346887	Period: 1291288	Veloc:  138268
Time: 349478	Period: 1291172	Veloc:  138896
Time: 352069	Period: 1291080	Veloc:  139516
Time: 354763	Period: 1290968	Veloc:  140180
Time: 357354	Period: 1290872	Veloc:  140804
Time: 359946	Period: 1290760	Veloc:  141448
Time: 362640	Period: 1290644	Veloc:  142084
Time: 365231	Period: 1290528	Veloc:  142728
Time: 367822	Period: 1290412	Veloc:  143372
Time: 370516	Period: 1290304	Veloc:  144020
Time: 373107	Period: 1290180	Veloc:  144684
Time: 375801	Period: 1290104	Veloc:  145324
Time: 378393	Period: 1289984	Veloc:  145972
Time: 380984	Period: 1289856	Veloc:  146652
Time: 383678	Period: 1289740	Veloc:  147308
Time: 386270	Period: 1289644	Veloc:  147972
Time: 388860	Period: 1289528	Veloc:  148648
Time: 391555	Period: 1289428	Veloc:  149300
Time: 394145	Period: 1289316	Veloc:  149964
Time: 396737	Period: 1289200	Veloc:  150660
Time: 399431	Period: 1289116	Veloc:  151336
Time: 402022	Period: 1289012	Veloc:  152012
Time: 404716	Period: 1288884	Veloc:  152684
Time: 407308	Period: 1288792	Veloc:  153360
Time: 409899	Period: 1288680	Veloc:  154048
Time: 412593	Period: 1288548	Veloc:  154720
Time: 415184	Period: 1288456	Veloc:  155396
Time: 417775	Period: 1288340	Veloc:  156084
Time: 420469	Period: 1288232	Veloc:  156796
Time: 423060	Period: 1288148	Veloc:  157484
Time: 425652	Period: 1288036	Veloc:  158180
Time: 428346	Period: 1287932	Veloc:  158856
Time: 430937	Period: 1287816	Veloc:  159568
Time: 433632	Period: 1287720	Veloc:  160280
Time: 436222	Period: 1287592	Veloc:  160996
Time: 438813	Period: 1287488	Veloc:  161692
Time: 441507	Period: 1287368	Veloc:  162404
Time: 444099	Period: 1287252	Veloc:  163100
Time: 446690	Period: 1287164	Veloc:  163808
Time: 449384	Period: 1287060	Veloc:  164520
Time: 451976	Period: 1286948	Veloc:  165248
Time: 454566	Period: 1286848	Veloc:  165952
Time: 457261	Period: 1286728	Veloc:  166668
Time: 459851	Period: 1286620	Veloc:  167408
Time: 462546	Period: 1286484	Veloc:  168148
Time: 465137	Period: 1286328	Veloc:  168884
Time: 467728	Period: 1286228	Veloc:  169596
Time: 470422	Period: 1286112	Veloc:  170324
Time: 473014	Period: 1286012	Veloc:  171060
Time: 475604	Period: 1285876	Veloc:  171824
Time: 478299	Period: 1285760	Veloc:  172540
Time: 480890	Period: 1285640	Veloc:  173304
Time: 483481	Period: 1285528	Veloc:  174032
Time: 486175	Period: 1285416	Veloc:  174788
Time: 488766	Period: 1285288	Veloc:  175540
Time: 491461	Period: 1285156	Veloc:  176312
Time: 494052	Period: 1285064	Veloc:  177048
Time: 496643	Period: 1284932	Veloc:  177812
Time: 499338	Period: 1284812	Veloc:  178564
Time: 501928	Period: 1284684	Veloc:  179360
Time: 504519	Period: 1284548	Veloc:  180120
Time: 507213	Period: 1284412	Veloc:  180904
Time: 509805	Period: 1284328	Veloc:  181672
Time: 512396	Period: 1284200	Veloc:  182440
Time: 515090	Period: 1284064	Veloc:  183224
Time: 517682	Period: 1283944	Veloc:  184004
Time: 520272	Period: 1283808	Veloc:  184812
Time: 522967	Period: 1283704	Veloc:  185580
Time: 525557	Period: 1283572	Veloc:  186368
Time: 528252	Period: 1283440	Veloc:  187148
Time: 530843	Period: 1283292	Veloc:  187952
Time: 533434	Period: 1283200	Veloc:  188724
Time: 536129	Period: 1283048	Veloc:  189520
Time: 538720	Period: 1282932	Veloc:  190304
Time: 541310	Period: 1282788	Veloc:  191128
Time: 544005	Period: 1282696	Veloc:  191940
Time: 546596	Period: 1282568	Veloc:  192740
Time: 549187	Period: 1282440	Veloc:  193568
Time: 551881	Period: 1282300	Veloc:  194372
Time: 554473	Period: 1282172	Veloc:  195176
Time: 557167	Period: 1282044	Veloc:  195980
Time: 559758	Period: 1281920	Veloc:  196808
Time: 562349	Period: 1281796	Veloc:  197628
Time: 565044	Period: 1281636	Veloc:  198448
Time: 567634	Period: 1281492	Veloc:  199324
Time: 570225	Period: 1281376	Veloc:  200152
Time: 572919	Period: 1281232	Veloc:  200996
Time: 575511	Period: 1281112	Veloc:  201836
Time: 578102	Period: 1280992	Veloc:  202688
Time: 580796	Period: 1280868	Veloc:  203544
Time: 583388	Period: 1280724	Veloc:  204404
Time: 586082	Period: 1280604	Veloc:  205264
Time: 588673	Period: 1280452	Veloc:  206148
Time: 591263	Period: 1280296	Veloc:  206996
Time: 593958	Period: 1280096	Veloc:  207868
Time: 596549	Period: 1279980	Veloc:  208736
Time: 599140	Period: 1279852	Veloc:  209644
Time: 601835	Period: 1279688	Veloc:  210516
Time: 604426	Period: 1279532	Veloc:  211404
Time: 607016	Period: 1279384	Veloc:  212244
Time: 609711	Period: 1279240	Veloc:  213148
Time: 612302	Period: 1279088	Veloc:  214028
Time: 614996	Period: 1278960	Veloc:  214916
Time: 617587	Period: 1278816	Veloc:  215812
Time: 620179	Period: 1278676	Veloc:  216688
Time: 622873	Period: 1278528	Veloc:  217604
Time: 625464	Period: 1278412	Veloc:  218456
Time: 628055	Period: 1278256	Veloc:  219392
Time: 630750	Period: 1278104	Veloc:  220304
Time: 633340	Period: 1277968	Veloc:  221188
Time: 635931	Period: 1277824	Veloc:  222108
Time: 638626	Period: 1277716	Veloc:  223004
Time: 641217	Period: 1277532	Veloc:  223936
Time: 643911	Period: 1277388	Veloc:  224864
Time: 646502	Period: 1277264	Veloc:  225788
Time: 649094	Period: 1277100	Veloc:  226732
Time: 651788	Period: 1276940	Veloc:  227632
Time: 654379	Period: 1276784	Veloc:  228588
Time: 656970	Period: 1276668	Veloc:  229516
Time: 659664	Period: 1276500	Veloc:  230436
Time: 662255	Period: 1276328	Veloc:  231400
Time: 664846	Period: 1276184	Veloc:  232324
Time: 667541	Period: 1276040	Veloc:  233304
Time: 670132	Period: 1275908	Veloc:  234252
Time: 672722	Period: 1275736	Veloc:  235180
Time: 675418	Period: 1275568	Veloc:  236200
Time: 678008	Period: 1275432	Veloc:  237164
Time: 680702	Period: 1275240	Veloc:  238160
Time: 683293	Period: 1275096	Veloc:  239112
Time: 685885	Period: 1274916	Veloc:  240148
Time: 688579	Period: 1274772	Veloc:  241104
Time: 691170	Period: 1274596	Veloc:  242032
Time: 693762	Period: 1274488	Veloc:  243052
Time: 696456	Period: 1274292	Veloc:  244036
Time: 699046	Period: 1274144	Veloc:  245012
Time: 701637	Period: 1273964	Veloc:  246016
Time: 704332	Period: 1273836	Veloc:  247020
Time: 706923	Period: 1273652	Veloc:  248036
Time: 709617	Period: 1273488	Veloc:  249036
Time: 712209	Period: 1273324	Veloc:  250044
Time: 714800	Period: 1273124	Veloc:  251052
Time: 717494	Period: 1272988	Veloc:  252092
Time: 720084	Period: 1272812	Veloc:  253124
Time: 722676	Period: 1272640	Veloc:  254164
Time: 725370	Period: 1272488	Veloc:  255116
Time: 727961	Period: 1272312	Veloc:  256200
Time: 730552	Period: 1272156	Veloc:  257204
Time: 733247	Period: 1271976	Veloc:  258248
Time: 735838	Period: 1271852	Veloc:  259284
Time: 738532	Period: 1271648	Veloc:  260372
Time: 741124	Period: 1271460	Veloc:  261388
Time: 743714	Period: 1271280	Veloc:  262484
Time: 746408	Period: 1271124	Veloc:  263504
Time: 748999	Period: 1270952	Veloc:  264600
Time: 751591	Period: 1270752	Veloc:  265636
Time: 754285	Period: 1270604	Veloc:  266676
Time: 756876	Period: 1270428	Veloc:  267748
Time: 759468	Period: 1270248	Veloc:  268836
Time: 762162	Period: 1270036	Veloc:  269932
Time: 764752	Period: 1269848	Veloc:  271020
Time: 767447	Period: 1269704	Veloc:  272076
Time: 770038	Period: 1269480	Veloc:  273176
Time: 772629	Period: 1269288	Veloc:  274288
Time: 775323	Period: 1269096	Veloc:  275424
Time: 777915	Period: 1268944	Veloc:  276500
Time: 780506	Period: 1268744	Veloc:  277592
Time: 783200	Period: 1268528	Veloc:  278728
Time: 785790	Period: 1268384	Veloc:  279804
Time: 788382	Period: 1268208	Veloc:  280948
Time: 791076	Period: 1268008	Veloc:  282060
Time: 793667	Period: 1267848	Veloc:  283188
Time: 796362	Period: 1267636	Veloc:  284320
Time: 798953	Period: 1267444	Veloc:  285480
Time: 801544	Period: 1267244	Veloc:  286612
Time: 804238	Period: 1267016	Veloc:  287800
Time: 806830	Period: 1266860	Veloc:  288924
Time: 809420	Period: 1266652	Veloc:  290060
Time: 812114	Period: 1266464	Veloc:  291172
Time: 814706	Period: 1266252	Veloc:  292372
Time: 817297	Period: 1266072	Veloc:  293524
Time: 819991	Period: 1265876	Veloc:  294672
Time: 822582	Period: 1265684	Veloc:  295844
Time: 825174	Period: 1265488	Veloc:  297004
Time: 827868	Period: 1265292	Veloc:  298188
Time: 830458	Period: 1265100	Veloc:  299348
Time: 833154	Period: 1264864	Veloc:  300584
Time: 835744	Period: 1264696	Veloc:  301744
Time: 838335	Period: 1264476	Veloc:  302924
Time: 841029	Period: 1264252	Veloc:  304128
Time: 843621	Period: 1264016	Veloc:  305376
Time: 846212	Period: 1263856	Veloc:  306532
Time: 848906	Period: 1263672	Veloc:  307724
Time: 851497	Period: 1263440	Veloc:  308944
Time: 854088	Period: 1263208	Veloc:  310160
Time: 856782	Period: 1263000	Veloc:  311416
Time: 859373	Period: 1262784	Veloc:  312644
Time: 862068	Period: 1262564	Veloc:  313848
Time: 864659	Period: 1262360	Veloc:  315072
Time: 867250	Period: 1262136	Veloc:  316328
Time: 869945	Period: 1261932	Veloc:  317596
Time: 872536	Period: 1261700	Veloc:  318812
Time: 875126	Period: 1261440	Veloc:  320068
Time: 877820	Period: 1261244	Veloc:  321344
Time: 880412	Period: 1261008	Veloc:  322600
Time: 883003	Period: 1260756	Veloc:  323884
Time: 885697	Period: 1260568	Veloc:  325164
Time: 888289	Period: 1260316	Veloc:  326432
Time: 890983	Period: 1260108	Veloc:  327708
Time: 893574	Period: 1259872	Veloc:  329036
Time: 896164	Period: 1259624	Veloc:  330304
Time: 898860	Period: 1259392	Veloc:  331600
Time: 901450	Period: 1259172	Veloc:  332944
Time: 904041	Period: 1258944	Veloc:  334244
Time: 906735	Period: 1258720	Veloc:  335580
Time: 909327	Period: 1258516	Veloc:  336828
Time: 911918	Period: 1258288	Veloc:  338240
Time: 914612	Period: 1258052	Veloc:  339576
Time: 917203	Period: 1257804	Veloc:  340876
Time: 919898	Period: 1257552	Veloc:  342252
Time: 922488	Period: 1257312	Veloc:  343556
Time: 925079	Period: 1257132	Veloc:  344912
Time: 927774	Period: 1256872	Veloc:  346288
Time: 930365	Period: 1256648	Veloc:  347620
Time: 932956	Period: 1256376	Veloc:  348984
Time: 935651	Period: 1256080	Veloc:  350356
Time: 938242	Period: 1255884	Veloc:  351692
Time: 940832	Period: 1255592	Veloc:  353108
Time: 943526	Period: 1255324	Veloc:  354516
Time: 946118	Period: 1255128	Veloc:  355856
Time: 948812	Period: 1254892	Veloc:  357244
Time: 951403	Period: 1254652	Veloc:  358624
Time: 953995	Period: 1254380	Veloc:  360008
Time: 956689	Period: 1254064	Veloc:  361408
Time: 959280	Period: 1253828	Veloc:  362824
Time: 961870	Period: 1253564	Veloc:  364272
Time: 964566	Period: 1253300	Veloc:  365712
Time: 967156	Period: 1253088	Veloc:  367144
Time: 969747	Period: 1252828	Veloc:  368572
Time: 972442	Period: 1252540	Veloc:  369968
Time: 975033	Period: 1252300	Veloc:  371440
Time: 977624	Period: 1252068	Veloc:  372844
Time: 980318	Period: 1251780	Veloc:  374348
Time: 982909	Period: 1251488	Veloc:  375816
Time: 985604	Period: 1251240	Veloc:  377252
Time: 988194	Period: 1250956	Veloc:  378704
Time: 990786	Period: 1250680	Veloc:  380216
Time: 993480	Period: 1250408	Veloc:  381684
Time: 996071	Period: 1250152	Veloc:  383168
Time: 998662	Period: 1249876	Veloc:  384632
Time: 1001362	Period: 1249576	Veloc:  386176
Time: 1003962	Period: 1249312	Veloc:  387660
Time: 1006563	Period: 1249044	Veloc:  389180
Time: 1009267	Period: 1248800	Veloc:  390728
Time: 1011867	Period: 1248520	Veloc:  392216
Time: 1014468	Period: 1248208	Veloc:  393764
Time: 1017069	Period: 1247928	Veloc:  395280
Time: 1019773	Period: 1247628	Veloc:  396852
Time: 1022373	Period: 1247368	Veloc:  398428
Time: 1024974	Period: 1246992	Veloc:  400040
Time: 1027574	Period: 1246708	Veloc:  401556
Time: 1030279	Period: 1246468	Veloc:  403120
Time: 1032880	Period: 1246180	Veloc:  404664
Time: 1035480	Period: 1245848	Veloc:  406276
Time: 1038081	Period: 1245524	Veloc:  407892
Time: 1040785	Period: 1245284	Veloc:  409492
Time: 1043385	Period: 1244932	Veloc:  411048
Time: 1045986	Period: 1244616	Veloc:  412712
Time: 1048690	Period: 1244288	Veloc:  414316
Time: 1051290	Period: 1244056	Veloc:  415932
Time: 1053891	Period: 1243712	Veloc:  417528
Time: 1056492	Period: 1243372	Veloc:  419216
Time: 1059196	Period: 1243156	Veloc:  420824
Time: 1061796	Period: 1242792	Veloc:  422496
Time: 1064397	Period: 1242448	Veloc:  424148
Time: 1066997	Period: 1242136	Veloc:  425844
Time: 1069702	Period: 1241760	Veloc:  427524
Time: 1072303	Period: 1241520	Veloc:  429184
Time: 1074903	Period: 1241088	Veloc:  430872
Time: 1077607	Period: 1240800	Veloc:  432564
Time: 1080208	Period: 1240416	Veloc:  434272
Time: 1082808	Period: 1240116	Veloc:  435972
Time: 1085409	Period: 1239820	Veloc:  437672
Time: 1088113	Period: 1239452	Veloc:  439468
Time: 1090713	Period: 1239116	Veloc:  441156
Time: 1093314	Period: 1238772	Veloc:  442904
Time: 1095915	Period: 1238416	Veloc:  444668
Time: 1098619	Period: 1238064	Veloc:  446448
Time: 1101219	Period: 1237748	Veloc:  448172
Time: 1103820	Period: 1237364	Veloc:  449964
Time: 1106525	Period: 1237024	Veloc:  451752
Time: 1109125	Period: 1236652	Veloc:  453520
Time: 1111726	Period: 1236276	Veloc:  455312
Time: 1114326	Period: 1235948	Veloc:  457088
Time: 1117030	Period: 1235604	Veloc:  458908
Time: 1119631	Period: 1235224	Veloc:  460724
Time: 1122231	Period: 1234828	Veloc:  462552
Time: 1124832	Period: 1234416	Veloc:  464380
Time: 1127536	Period: 1234024	Veloc:  466196
Time: 1130137	Period: 1233648	Veloc:  468020
Time: 1132737	Period: 1233280	Veloc:  469884
Time: 1135338	Period: 1232932	Veloc:  471768
Time: 1138042	Period: 1232580	Veloc:  473548
Time: 1140642	Period: 1232188	Veloc:  475416
Time: 1143243	Period: 1231716	Veloc:  477356
Time: 1145948	Period: 1231344	Veloc:  479168
Time: 1148548	Period: 1231004	Veloc:  481120
Time: 1151149	Period: 1230532	Veloc:  483020
Time: 1153748	Period: 1230140	Veloc:  484880
Time: 1156453	Period: 1229772	Veloc:  486836
Time: 1159054	Period: 1229372	Veloc:  488792
Time: 1161655	Period: 1228944	Veloc:  490732
Time: 1164255	Period: 1228536	Veloc:  492672
Time: 1166959	Period: 1228096	Veloc:  494656
Time: 1169560	Period: 1227724	Veloc:  496700
Time: 1172160	Period: 1227260	Veloc:  498608
Time: 1174864	Period: 1226832	Veloc:  500668
Time: 1177465	Period: 1226380	Veloc:  502656
Time: 1180065	Period: 1225900	Veloc:  504576
Time: 1182666	Period: 1225512	Veloc:  506740
Time: 1185371	Period: 1225088	Veloc:  508768
Time: 1187971	Period: 1224616	Veloc:  510804
Time: 1190572	Period: 1224144	Veloc:  512944
Time: 1193171	Period: 1223696	Veloc:  514920
Time: 1195876	Period: 1223260	Veloc:  516948
Time: 1198477	Period: 1222792	Veloc:  519088
Time: 1201078	Period: 1222300	Veloc:  521140
Time: 1203781	Period: 1221824	Veloc:  523264
Time: 1206382	Period: 1221316	Veloc:  525364
Time: 1208983	Period: 1220836	Veloc:  527440
Time: 1211583	Period: 1220336	Veloc:  529588
Time: 1214287	Period: 1219884	Veloc:  531704
Time: 1216888	Period: 1219388	Veloc:  533876
Time: 1219488	Period: 1218920	Veloc:  536028
Time: 1222089	Period: 1218404	Veloc:  538232
Time: 1224794	Period: 1217904	Veloc:  540412
Time: 1227394	Period: 1217384	Veloc:  542588
Time: 1229995	Period: 1216836	Veloc:  544808
Time: 1232699	Period: 1216332	Veloc:  547048
Time: 1235299	Period: 1215776	Veloc:  549260
Time: 1237900	Period: 1215280	Veloc:  551532
Time: 1240501	Period: 1214724	Veloc:  553820
Time: 1243205	Period: 1214268	Veloc:  556044
Time: 1245805	Period: 1213700	Veloc:  558396
Time: 1248406	Period: 1213196	Veloc:  560744
Time: 1251006	Period: 1212604	Veloc:  563120
Time: 1253710	Period: 1212072	Veloc:  565396
Time: 1256311	Period: 1211464	Veloc:  567836
Time: 1258911	Period: 1210948	Veloc:  570140
Time: 1261512	Period: 1210304	Veloc:  572560
Time: 1264217	Period: 1209732	Veloc:  574892
Time: 1266817	Period: 1209076	Veloc:  577324
Time: 1269417	Period: 1208568	Veloc:  579688
Time: 1272122	Period: 1207980	Veloc:  582112
Time: 1274723	Period: 1207328	Veloc:  584588
Time: 1277323	Period: 1206844	Veloc:  587008
Time: 1279924	Period: 1206120	Veloc:  589408
Time: 1282628	Period: 1205536	Veloc:  591948
Time: 1285228	Period: 1204852	Veloc:  594484
Time: 1287829	Period: 1204256	Veloc:  596952
Time: 1290429	Period: 1203580	Veloc:  599488
Time: 1293133	Period: 1202860	Veloc:  602092
Time: 1295734	Period: 1202256	Veloc:  604652
Time: 1298334	Period: 1201560	Veloc:  607152
Time: 1301039	Period: 1200916	Veloc:  609788
Time: 1303640	Period: 1200260	Veloc:  612280
Time: 1306240	Period: 1199524	Veloc:  614864
Time: 1308840	Period: 1198764	Veloc:  617656
Time: 1311545	Period: 1198096	Veloc:  620216
Time: 1314146	Period: 1197432	Veloc:  622864
Time: 1316746	Period: 1196704	Veloc:  625588
Time: 1319347	Period: 1196012	Veloc:  628216
Time: 1322051	Period: 1195156	Veloc:  631044
Time: 1324651	Period: 1194400	Veloc:  633772
Time: 1327252	Period: 1193644	Veloc:  636564
Time: 1329956	Period: 1192884	Veloc:  639204
Time: 1332556	Period: 1192160	Veloc:  641928
Time: 1335157	Period: 1191340	Veloc:  644776
Time: 1337757	Period: 1190476	Veloc:  647640
Time: 1340462	Period: 1189744	Veloc:  650360
Time: 1343063	Period: 1188924	Veloc:  653172
Time: 1345662	Period: 1188120	Veloc:  656072
Time: 1348263	Period: 1187156	Veloc:  659032
Time: 1350968	Period: 1186424	Veloc:  661888
Time: 1353569	Period: 1185524	Veloc:  664868
Time: 1356169	Period: 1184660	Veloc:  667900
Time: 1358873	Period: 1183764	Veloc:  670804
Time: 1361474	Period: 1182884	Veloc:  673780
Time: 1364074	Period: 1181948	Veloc:  676792
